Targa,Id,Odonimo,Codvia,Lunghezza,Data rilievo,Tecnico incaricato,ID Pianta,Specie,Sito Impianto,Lat,Log,h (m),Diametro (cm),Dist. sede stradale (m),Dist. marciapiede (m),CPC,Cod. lavorazione/elenco prezzi,Note,Cod. lavorazione - F2,Lavori - F2,Cod. lavorazione - F3,Lavori - F3,Cod. lavorazione - F4,Lavori - F4,Descrizione,Unità di misura,Prezzo Unitario,UPL,Quartiere,Circoscrizione,CO2 catturata (kg/anno),O2 prodotto (kg/anno)
AA000AA,ALB_001,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,001,Ficus microcarpa,Aiuola spartitraffico,38.147446,13.340715,12,47,1.3,,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.55,19.27
AA001AA,ALB_002,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,002,Ficus microcarpa,Aiuola spartitraffico,38.147420,13.340646,12,49,1.25,,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.77,19.42
AA002AA,ALB_003,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,003,Ficus microcarpa,Aiuola spartitraffico,38.147399,13.340588,12,42,1.4,,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.02,18.88
AA003AA,ALB_004,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,004,Ficus microcarpa,Aiuola spartitraffico,38.147377,13.340527,12,32,1.4,,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,24.94,18.1
AA004AA,ALB_005,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,005,Ficus microcarpa,Aiuola pedonale,38.147351,13.340474,12,52,1.3,0.6,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,27.09,19.66
AA005AA,ALB_006,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,006,Ficus microcarpa,Aiuola pedonale,38.147331,13.340413,12,34,1.3,0.6,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.16,18.25
AA006AA,ALB_007,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,007,Ficus microcarpa,Aiuola pedonale,38.147305,13.340343,12,39,1.3,0.6,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.69,18.64
AA007AA,ALB_008,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,008,Ficus microcarpa,Aiuola pedonale,38.147269,13.340256,12,42,1.3,0.6,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.02,18.88
AA008AA,ALB_009,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,009,Ficus microcarpa,Aiuola pedonale,38.147227,13.340180,12,42,1.3,0.6,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.02,18.88
AA009AA,ALB_010,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,010,Ficus microcarpa,Aiuola pedonale,38.147203,13.340091,12,39,1.3,0.6,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.69,18.64
AA010AA,ALB_011,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,011,Ficus microcarpa,Aiuola pedonale,38.147181,13.340031,12,36,1.3,0.6,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.37,18.41
AA011AA,ALB_012,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,012,Ficus microcarpa,Aiuola pedonale,38.147159,13.339976,12,48,1.3,0.6,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.66,19.34
AA012AA,ALB_013,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,013,Ficus microcarpa,Aiuola pedonale,38.147133,13.339918,12,55,1.3,0.5,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,27.41,19.89
AA013AA,ALB_014,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,014,Ficus microcarpa,Cercine,38.147130,13.339611,15,36,1.3,0.4,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.37,18.41
AA014AA,ALB_015,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,015,Ficus microcarpa,Cercine,38.147108,13.339546,15,42,1.3,0.4,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.02,18.88
AA015AA,ALB_016,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,016,Ficus microcarpa,Cercine,38.147078,13.339479,15,38,1.3,0.4,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.59,18.56
AA016AA,ALB_017,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,017,Ficus microcarpa,Cercine,38.147057,13.339430,15,47,1.3,0.4,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.55,19.27
AA017AA,ALB_018,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,018,Ficus microcarpa,Cercine,38.147032,13.339368,15,32,1.3,0.4,C,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,24.94,18.1
AA018AA,ALB_019,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,019,Ficus microcarpa,Cercine,38.147023,13.339299,12,70,3,1,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,29.03,21.06
AA019AA,ALB_020,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,020,Ficus microcarpa,Cercine,38.146149,13.337474,12,45,3.1,1.1,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.34,19.11
AA020AA,ALB_021,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,021,Ficus microcarpa,Cercine,38.146106,13.337379,12,62,3,1,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,28.17,20.44
AA021AA,ALB_022,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,022,Ficus microcarpa,Cercine,38.146068,13.337268,12,68,3,1,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,28.81,20.9
AA022AA,ALB_023,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,023,Ficus microcarpa,Cercine,38.146030,13.337163,12,77,3,1,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,29.78,21.61
AA023AA,ALB_024,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,024,Ficus microcarpa,Cercine,38.145989,13.337039,12,42,3,1,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.02,18.88
AA024AA,ALB_025,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,025,Ficus microcarpa,Cercine,38.145937,13.336901,12,50,3,1,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.88,19.5
AA025AA,ALB_026,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,026,Ficus microcarpa,Cercine,38.145878,13.336766,12,49,3,1,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.77,19.42
AA026AA,ALB_027,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,027,Ficus microcarpa,Cercine,38.145835,13.336632,12,38,3,1,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.59,18.56
AA027AA,ALB_028,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,028,Ficus microcarpa,Cercine,38.145765,13.336455,12,45,3,1,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.34,19.11
AA028AA,ALB_029,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,029,Ficus microcarpa,Cercine,38.145720,13.336347,12,62,3,1,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,28.17,20.44
AA029AA,ALB_030,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,030,Ficus microcarpa,Cercine,38.145673,13.336248,12,79,3,1,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,29.99,21.76
AA030AA,ALB_031,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,031,Ficus microcarpa,Cercine,38.145629,13.336101,12,77,3,1,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,29.78,21.61
AA031AA,ALB_032,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,032,Ficus microcarpa,Aiuola pedonale,38.145560,13.335960,15,45,3,1,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.34,19.11
AA032AA,ALB_033,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,033,Ficus microcarpa,Aiuola pedonale,38.145524,13.335880,15,42,3,1,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.02,18.88
AA033AA,ALB_034,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,034,Ficus microcarpa,Aiuola pedonale,38.145504,13.335823,15,38,3,1,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.59,18.56
AA034AA,ALB_035,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,035,Ficus microcarpa,Aiuola pedonale,38.145476,13.335751,15,52,3,1,C,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,27.09,19.66
AA035AA,ALB_036,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,036,Ficus microcarpa,Cercine,38.145650,13.335916,12,48,0.9,0.5,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.66,19.34
AA036AA,ALB_037,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,037,Ficus microcarpa,Cercine,38.145622,13.335817,12,43,0.9,0.5,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.12,18.95
AA037AA,ALB_038,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,038,Ficus microcarpa,Cercine,38.145585,13.335722,12,43,0.9,0.5,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.12,18.95
AA038AA,ALB_039,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,039,Ficus microcarpa,Cercine,38.145531,13.335617,12,45,0.9,0.5,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.34,19.11
AA039AA,ALB_040,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,040,Ficus microcarpa,Cercine,38.145502,13.335536,12,50,0.9,0.5,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.88,19.5
AA040AA,ALB_041,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,041,Ficus microcarpa,Cercine,38.145472,13.335475,12,55,0.9,0.5,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,27.41,19.89
AA041AA,ALB_042,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,042,Ficus microcarpa,Cercine,38.145443,13.335425,12,45,0.9,0.5,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.34,19.11
AA042AA,ALB_043,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,043,Ficus microcarpa,Cercine,38.145417,13.335358,12,48,0.9,0.5,C,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.66,19.34
AA043AA,ALB_044,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,044,Ficus microcarpa,Cercine,38.145247,13.335472,12,55,0.9,0.5,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,27.41,19.89
AA044AA,ALB_045,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,045,Ficus microcarpa,Cercine,38.145276,13.335545,12,41,0.9,0.5,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.91,18.8
AA045AA,ALB_046,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,046,Ficus microcarpa,Cercine,38.145309,13.335604,12,39,0.9,0.5,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.69,18.64
AA046AA,ALB_047,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,047,Ficus microcarpa,Cercine,38.145337,13.335679,12,38,0.9,0.5,D,APL.018S,,SIC24_1.6.2,"Rimozione ceppaie 0,5-1,5 m³",Fornitura e messa a dimora…,Fornitura con posa in opera di una pianta,15030034,Pali tutori castagno 2m,Abbattimento chioma espansa h.12-16m,cad,€316.90,Vittorio Veneto,Libertà,VIII,25.59,18.56
AA047AA,ALB_048,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,048,Ficus microcarpa,Cercine,38.145389,13.335785,12,37,0.9,0.5,C,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.48,18.49
AA048AA,ALB_049,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,049,Ficus microcarpa,Cercine,38.145408,13.335864,12,39,0.9,0.5,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.69,18.64
AA049AA,ALB_050,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,050,Ficus microcarpa,Cercine,38.145439,13.335940,12,38,0.9,0.5,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.59,18.56
AA050AA,ALB_051,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,051,Ficus microcarpa,Cercine,38.145471,13.336025,12,45,0.9,0.5,B,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.34,19.11
AA051AA,ALB_052,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,052,Brachychiton acerifolius ,Cercine,38.145528,13.336239,10,27,1.2,0.5,C,APL.002S,,,,,,,,Potatura latifoglie sempreverdi h.8-16m,cad,€358.16,Vittorio Veneto,Libertà,VIII,20.66,14.98
AA052AA,ALB_053,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,053,Brachychiton acerifolius ,Cercine,38.145571,13.336337,10,32,1.2,0.5,B,APL.002S,,,,,,,,Potatura latifoglie sempreverdi h.8-16m,cad,€358.16,Vittorio Veneto,Libertà,VIII,21.11,15.31
AA053AA,ALB_054,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,054,Brachychiton acerifolius ,Cercine,38.145609,13.336435,12,32,1.2,0.5,B,APL.002S,,,,,,,,Potatura latifoglie sempreverdi h.8-16m,cad,€358.16,Vittorio Veneto,Libertà,VIII,21.11,15.31
AA054AA,ALB_055,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,055,Ficus benjamina,Cercine,38.145652,13.336528,10,18,1.2,0.5,C,APL.026S,,,,,,,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,18.31,13.3
AA055AA,ALB_056,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,056,Celtis australis,Cercine stradale,38.145829,13.336518,15,137,0.2,,C,APL.006S,,,,,,,,Potatura decidui chioma espansa h.12-16m,cad,€250.87,Vittorio Veneto,Libertà,VIII,37.58,27.3
AA056AA,ALB_057,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,057,Acer negundo,Cercine,38.146238,13.337607,8,42,0.2,,D,APL.017S,,SIC24_1.6.2,"Rimozione ceppaie 0,5-1,5 m³",Fornitura e messa a dimora…,Fornitura con posa in opera di una pianta,15030034,Pali tutori castagno 2m,Abbattimento chioma espansa h.6-12m,cad,€256.86,Vittorio Veneto,Libertà,VIII,23.6,17.06
AA057AA,ALB_058,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,058,Robinia pseudoacacia,Aiuola pedonale,38.146651,13.338721,12,45,1.2,0.4,B,APL.005S,,,,,,,,Potatura decidui chioma espansa h.6-12m,cad,€186.07,Vittorio Veneto,Libertà,VIII,24.62,17.89
AA058AA,ALB_059,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,059,Sophora japonica,Aiuola pedonale,38.146673,13.338800,12,38,1.2,0.4,B,APL.005S,,,,,,,,Potatura decidui chioma espansa h.6-12m,cad,€186.07,Vittorio Veneto,Libertà,VIII,25.23,18.33
AA059AA,ALB_060,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,060,Sophora japonica,Aiuola pedonale,38.146705,13.338859,,30,1.2,0.4,B,APL.005S,,,,,,,,Potatura decidui chioma espansa h.6-12m,cad,€186.07,Vittorio Veneto,Libertà,VIII,24.38,17.71
AA060AA,ALB_061,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,061,Robinia pseudoacacia,Aiuola pedonale,38.146807,13.339127,,15,1.2,0.4,B,SIC24_1.6.2,,Fornitura e messa a dimora…,,15030034,Fornitura con posa in opera di una pianta,,Pali tutori castagno 2m,"Rimozione ceppaie 0,5-1,5 m³",cad,€228.15,Vittorio Veneto,Libertà,VIII,21.61,15.7
AA061AA,ALB_062,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,062,Robinia pseudoacacia,Aiuola pedonale,38.146879,13.339347,,15,1.2,0.4,B,SIC24_1.6.2,,Fornitura e messa a dimora…,,15030034,Fornitura con posa in opera di una pianta,,Pali tutori castagno 2m,"Rimozione ceppaie 0,5-1,5 m³",cad,€228.15,Vittorio Veneto,Libertà,VIII,21.61,15.7
AA062AA,ALB_063,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,063,Robinia pseudoacacia,Aiuola pedonale,38.146975,13.339557,,15,1.2,0.4,B,SIC24_1.6.2,,Fornitura e messa a dimora…,,15030034,Fornitura con posa in opera di una pianta,,Pali tutori castagno 2m,"Rimozione ceppaie 0,5-1,5 m³",cad,€228.15,Vittorio Veneto,Libertà,VIII,21.61,15.7
AA063AA,ALB_064,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,064,Robinia pseudoacacia,Aiuola pedonale,38.147060,13.339758,,15,1.2,0.4,B,SIC24_1.6.2,,Fornitura e messa a dimora…,,15030034,Fornitura con posa in opera di una pianta,,Pali tutori castagno 2m,"Rimozione ceppaie 0,5-1,5 m³",cad,€228.15,Vittorio Veneto,Libertà,VIII,21.61,15.7
AA064AA,ALB_065,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,065,Pinus halepensis,Cercine stradale,38.146389,13.338889,16,64,,,D,APL.024S,Coordinate rilevate da Google earth,SIC24_1.6.2,"Rimozione ceppaie 0,5-1,5 m³",Fornitura e messa a dimora…,Fornitura con posa in opera di una pianta,15030034,Pali tutori castagno 2m,Abbattimento chioma piramidale h.16-23m,cad,€521.24,Vittorio Veneto,Libertà,VIII,30.89,22.44
