Odonimo,h (m),Diametro (cm),count
Via Pignatelli Aragona,10,37,1
Via Pignatelli Aragona,12,35,1
Via Pignatelli Aragona,12,36,1
Via Pignatelli Aragona,12,38,3
Via Pignatelli Aragona,12,40,1
Via Pignatelli Aragona,12,41,2
Via Pignatelli Aragona,12,42,1
Via Pignatelli Aragona,12,43,1
Via Pignatelli Aragona,12,45,2
Via Pignatelli Aragona,12,46,1
Via Pignatelli Aragona,12,47,2
Via Pignatelli Aragona,12,48,3
Via Pignatelli Aragona,12,49,2
Via Pignatelli Aragona,12,50,2
Via Pignatelli Aragona,12,52,4
Via Pignatelli Aragona,12,53,1
Via Pignatelli Aragona,12,55,1
Via Pignatelli Aragona,12,58,1
Via Pignatelli Aragona,12,59,2
Via Pignatelli Aragona,12,62,2
Via Pignatelli Aragona,12,63,1
Via Pignatelli Aragona,12,65,6
Via Pignatelli Aragona,12,68,1
Via Pignatelli Aragona,12,76,1
Via Pignatelli Aragona,12,77,1
Via Pignatelli Aragona,12,78,1
Via Pignatelli Aragona,12,79,1
Via Pignatelli Aragona,12,82,1
Via Pignatelli Aragona,12,103,1
Via Delle Croci,10,45,1
Via Delle Croci,12,35,4
Via Delle Croci,12,37,2
Via Delle Croci,12,38,3
Via Delle Croci,12,39,4
Via Delle Croci,12,40,2
Via Delle Croci,12,41,2
Via Delle Croci,12,42,7
Via Delle Croci,12,43,2
Via Delle Croci,12,45,5
Via Delle Croci,12,46,2
Via Delle Croci,12,47,3
Via Delle Croci,12,48,5
Via Delle Croci,12,49,4
Via Delle Croci,12,50,1
Via Delle Croci,12,56,1
Via Delle Croci,12,58,1
Via Delle Croci,12,59,1
Via Delle Croci,12,65,1
Via Delle Croci,12,72,1
Viale Emilia,,15,4
Viale Emilia,,30,1
Viale Emilia,8,42,1
Viale Emilia,10,18,1
Viale Emilia,10,27,1
Viale Emilia,10,32,1
Viale Emilia,12,32,2
Viale Emilia,12,34,1
Viale Emilia,12,36,1
Viale Emilia,12,37,1
Viale Emilia,12,38,4
Viale Emilia,12,39,4
Viale Emilia,12,41,1
Viale Emilia,12,42,4
Viale Emilia,12,43,2
Viale Emilia,12,45,6
Viale Emilia,12,47,1
Viale Emilia,12,48,3
Viale Emilia,12,49,2
Viale Emilia,12,50,2
Viale Emilia,12,52,1
Viale Emilia,12,55,3
Viale Emilia,12,62,2
Viale Emilia,12,68,1
Viale Emilia,12,70,1
Viale Emilia,12,77,2
Viale Emilia,12,79,1
Viale Emilia,15,32,1
Viale Emilia,15,36,1
Viale Emilia,15,38,2
Viale Emilia,15,42,2
Viale Emilia,15,45,1
Viale Emilia,15,47,1
Viale Emilia,15,52,1
Viale Emilia,15,137,1
Viale Emilia,16,64,1