Odonimo,CPC,count,%,legenda,colore
Via Corazza Filippo,No Interv,16,53%,Nessun itervento,#f4cccc
Via Corazza Filippo,Ceppaia,11,37%,Ceppaia,#434343
Via Corazza Filippo,Verifica,3,10%,Da verficare,#9fc5e8
Via Delle Croci,B,31,60%,B (bassa),#2cc15f
Via Delle Croci,C,13,25%,C (moderata),#f39c12
Via Delle Croci,D,4,8%,D (estrema),#e74c3c
Via Delle Croci,C/D,4,8%,C/D (elevata),#c164a1
Via Giusti Giuseppe,No Interv,93,70%,Nessun itervento,#f4cccc
Via Giusti Giuseppe,Verifica,29,22%,Da verficare,#9fc5e8
Via Giusti Giuseppe,Non Class,7,5%,Non Classificato,#990000
Via Giusti Giuseppe,Ceppaia,3,2%,Ceppaia,#434343
Via Pignatelli Aragona,B,32,67%,B (bassa),#2cc15f
Via Pignatelli Aragona,C,8,17%,C (moderata),#f39c12
Via Pignatelli Aragona,D,5,10%,D (estrema),#e74c3c
Via Pignatelli Aragona,C/D,3,6%,C/D (elevata),#c164a1
Via Principe Di Belmonte,B,53,54%,B (bassa),#2cc15f
Via Principe Di Belmonte,C,19,19%,C (moderata),#f39c12
Via Principe Di Belmonte,D,13,13%,D (estrema),#e74c3c
Via Principe Di Belmonte,C/D,12,12%,C/D (elevata),#c164a1
Via Principe Di Belmonte,Vuoto,2,2%,Cercine vuoto,#ffff00
Via Rapisardi Mario,Ceppaia,19,32%,Ceppaia,#434343
Via Rapisardi Mario,No Interv,18,30%,Nessun itervento,#f4cccc
Via Rapisardi Mario,Verifica,17,28%,Da verficare,#9fc5e8
Via Rapisardi Mario,Non Class,6,10%,Non Classificato,#990000
Via Rizzo Ammiraglio - A,B,45,80%,B (bassa),#2cc15f
Via Rizzo Ammiraglio - A,C/D,5,9%,C/D (elevata),#c164a1
Via Rizzo Ammiraglio - A,C,4,7%,C (moderata),#f39c12
Via Rizzo Ammiraglio - A,D,2,4%,D (estrema),#e74c3c
Via Rizzo Ammiraglio - B,B,48,80%,B (bassa),#2cc15f
Via Rizzo Ammiraglio - B,C,8,13%,C (moderata),#f39c12
Via Rizzo Ammiraglio - B,D,3,5%,D (estrema),#e74c3c
Via Rizzo Ammiraglio - B,C/D,1,2%,C/D (elevata),#c164a1
Via Scoto Michele,B,26,93%,B (bassa),#2cc15f
Via Scoto Michele,D,1,4%,D (estrema),#e74c3c
Via Scoto Michele,C,1,4%,C (moderata),#f39c12
Viale Dei Picciotti - A,B,24,77%,B (bassa),#2cc15f
Viale Dei Picciotti - A,C,5,16%,C (moderata),#f39c12
Viale Dei Picciotti - A,C/D,2,6%,C/D (elevata),#c164a1
Viale Dei Picciotti - B,B,28,82%,B (bassa),#2cc15f
Viale Dei Picciotti - B,C,5,15%,C (moderata),#f39c12
Viale Dei Picciotti - B,C/D,1,3%,C/D (elevata),#c164a1
Viale Emilia,B,51,78%,B (bassa),#2cc15f
Viale Emilia,C,7,11%,C (moderata),#f39c12
Viale Emilia,Ceppaia,4,6%,Ceppaia,#434343
Viale Emilia,D,3,5%,D (estrema),#e74c3c
Viale Galatea,C/D,20,42%,C/D (elevata),#c164a1
Viale Galatea,C,13,27%,C (moderata),#f39c12
Viale Galatea,Ceppaia,9,19%,Ceppaia,#434343
Viale Galatea,A,4,8%,A (trascurabile),#00ff00
Viale Galatea,D,2,4%,D (estrema),#e74c3c
Viale Margherita di Savoia - A,C,48,64%,C (moderata),#f39c12
Viale Margherita di Savoia - A,C/D,17,23%,C/D (elevata),#c164a1
Viale Margherita di Savoia - A,D,6,8%,D (estrema),#e74c3c
Viale Margherita di Savoia - A,Non Class,4,5%,Non Classificato,#990000
Viale Margherita di Savoia - B,C/D,92,49%,C/D (elevata),#c164a1
Viale Margherita di Savoia - B,C,72,39%,C (moderata),#f39c12
Viale Margherita di Savoia - B,D,17,9%,D (estrema),#e74c3c
Viale Margherita di Savoia - B,B,5,3%,B (bassa),#2cc15f
Viale Margherita di Savoia - B,Non Class,1,1%,Non Classificato,#990000
Viale Michelangelo,C,111,59%,C (moderata),#f39c12
Viale Michelangelo,C/D,30,16%,C/D (elevata),#c164a1
Viale Michelangelo,D,23,12%,D (estrema),#e74c3c
Viale Michelangelo,Non Class,18,10%,Non Classificato,#990000
Viale Michelangelo,Ceppaia,5,3%,Ceppaia,#434343
Viale Michelangelo,A,2,1%,A (trascurabile),#00ff00
Viale Principe Umberto,C,22,34%,C (moderata),#f39c12
Viale Principe Umberto,C/D,19,30%,C/D (elevata),#c164a1
Viale Principe Umberto,Ceppaia,12,19%,Ceppaia,#434343
Viale Principe Umberto,D,7,11%,D (estrema),#e74c3c
Viale Principe Umberto,A,4,6%,A (trascurabile),#00ff00