Targa,Id,Odonimo,Codvia,Lunghezza,Data rilievo,Tecnico incaricato,ID Pianta,Specie,Sito Impianto,Lat,Log,h (m),Diametro (cm),Dist. sede stradale (m),Dist. marciapiede (m),CPC,Cod. lavorazione/elenco prezzi,Note,Descrizione,Unità di misura,Prezzo Unitario,UPL,Quartiere,Circoscrizione,CO2 catturata (kg/anno),O2 prodotto (kg/anno)
AA000AA,ALB_001,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,001,Ficus microcarpa,Aiuola spartitraffico,38.147446,13.340715,12,47,1.3,,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.55,19.27
AA001AA,ALB_002,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,002,Ficus microcarpa,Aiuola spartitraffico,38.14742,13.340646,12,49,1.25,,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.77,19.42
AA002AA,ALB_003,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,003,Ficus microcarpa,Aiuola spartitraffico,38.147399,13.340588,12,42,1.4,,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.02,18.88
AA003AA,ALB_004,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,004,Ficus microcarpa,Aiuola spartitraffico,38.147377,13.340527,12,32,1.4,,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,24.94,18.1
AA004AA,ALB_005,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,005,Ficus microcarpa,Aiuola pedonale,38.147351,13.340474,12,52,1.3,0.6,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,27.09,19.66
AA005AA,ALB_006,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,006,Ficus microcarpa,Aiuola pedonale,38.147331,13.340413,12,34,1.3,0.6,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.16,18.25
AA006AA,ALB_007,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,007,Ficus microcarpa,Aiuola pedonale,38.147305,13.340343,12,39,1.3,0.6,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.69,18.64
AA007AA,ALB_008,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,008,Ficus microcarpa,Aiuola pedonale,38.147269,13.340256,12,42,1.3,0.6,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.02,18.88
AA008AA,ALB_009,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,009,Ficus microcarpa,Aiuola pedonale,38.1472268,13.3401803,12,42,1.3,0.6,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.02,18.88
AA009AA,ALB_010,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,010,Ficus microcarpa,Aiuola pedonale,38.147203,13.340091,12,39,1.3,0.6,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.69,18.64
AA010AA,ALB_011,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,011,Ficus microcarpa,Aiuola pedonale,38.147181,13.340031,12,36,1.3,0.6,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.37,18.41
AA011AA,ALB_012,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,012,Ficus microcarpa,Aiuola pedonale,38.147159,13.339976,12,48,1.3,0.6,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.66,19.34
AA012AA,ALB_013,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,013,Ficus microcarpa,Aiuola pedonale,38.147133,13.339918,12,55,1.3,0.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,27.41,19.89
AA013AA,ALB_014,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,014,Ficus microcarpa,Cercine,38.14713,13.339611,15,36,1.3,0.4,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.37,18.41
AA014AA,ALB_015,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,015,Ficus microcarpa,Cercine,38.147108,13.339546,15,42,1.3,0.4,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.02,18.88
AA015AA,ALB_016,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,016,Ficus microcarpa,Cercine,38.147078,13.339479,15,38,1.3,0.4,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.59,18.56
AA016AA,ALB_017,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,017,Ficus microcarpa,Cercine,38.147057,13.33943,15,47,1.3,0.4,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.55,19.27
AA017AA,ALB_018,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,018,Ficus microcarpa,Cercine,38.147032,13.339368,15,32,1.3,0.4,C,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,24.94,18.1
AA018AA,ALB_019,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,019,Ficus microcarpa,Cercine,38.14702341,13.3392988,12,70,3,1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,29.03,21.06
AA019AA,ALB_020,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,020,Ficus microcarpa,Cercine,38.146149,13.337474,12,45,3.1,1.1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.34,19.11
AA020AA,ALB_021,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,021,Ficus microcarpa,Cercine,38.14610555,13.33737877,12,62,3,1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,28.17,20.44
AA021AA,ALB_022,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,022,Ficus microcarpa,Cercine,38.146068,13.337268,12,68,3,1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,28.81,20.9
AA022AA,ALB_023,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,023,Ficus microcarpa,Cercine,38.14603,13.337163,12,77,3,1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,29.78,21.61
AA023AA,ALB_024,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,024,Ficus microcarpa,Cercine,38.145989,13.337039,12,42,3,1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.02,18.88
AA024AA,ALB_025,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,025,Ficus microcarpa,Cercine,38.145937,13.336901,12,50,3,1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.88,19.5
AA025AA,ALB_026,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,026,Ficus microcarpa,Cercine,38.145878,13.336766,12,49,3,1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.77,19.42
AA026AA,ALB_027,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,027,Ficus microcarpa,Cercine,38.145835,13.336632,12,38,3,1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.59,18.56
AA027AA,ALB_028,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,028,Ficus microcarpa,Cercine,38.145765,13.336455,12,45,3,1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.34,19.11
AA028AA,ALB_029,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,029,Ficus microcarpa,Cercine,38.14572,13.336347,12,62,3,1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,28.17,20.44
AA029AA,ALB_030,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,030,Ficus microcarpa,Cercine,38.14567338,13.33624842,12,79,3,1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,29.99,21.76
AA030AA,ALB_031,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,031,Ficus microcarpa,Cercine,38.145629,13.336101,12,77,3,1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,29.78,21.61
AA031AA,ALB_032,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,032,Ficus microcarpa,Aiuola pedonale,38.14556,13.33596,15,45,3,1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.34,19.11
AA032AA,ALB_033,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,033,Ficus microcarpa,Aiuola pedonale,38.145524,13.33588,15,42,3,1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.02,18.88
AA033AA,ALB_034,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,034,Ficus microcarpa,Aiuola pedonale,38.145504,13.335823,15,38,3,1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.59,18.56
AA034AA,ALB_035,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,035,Ficus microcarpa,Aiuola pedonale,38.145476,13.335751,15,52,3,1,C,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,27.09,19.66
AA035AA,ALB_036,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,036,Ficus microcarpa,Cercine,38.14565,13.335916,12,48,0.9,0.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.66,19.34
AA036AA,ALB_037,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,037,Ficus microcarpa,Cercine,38.145622,13.335817,12,43,0.9,0.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.12,18.95
AA037AA,ALB_038,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,038,Ficus microcarpa,Cercine,38.145585,13.335722,12,43,0.9,0.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.12,18.95
AA038AA,ALB_039,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,039,Ficus microcarpa,Cercine,38.145531,13.335617,12,45,0.9,0.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.34,19.11
AA039AA,ALB_040,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,040,Ficus microcarpa,Cercine,38.145502,13.335536,12,50,0.9,0.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.88,19.5
AA040AA,ALB_041,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,041,Ficus microcarpa,Cercine,38.145472,13.335475,12,55,0.9,0.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,27.41,19.89
AA041AA,ALB_042,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,042,Ficus microcarpa,Cercine,38.145443,13.335425,12,45,0.9,0.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.34,19.11
AA042AA,ALB_043,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,043,Ficus microcarpa,Cercine,38.145417,13.335358,12,48,0.9,0.5,C,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.66,19.34
AA043AA,ALB_044,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,044,Ficus microcarpa,Cercine,38.145247,13.335472,12,55,0.9,0.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,27.41,19.89
AA044AA,ALB_045,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,045,Ficus microcarpa,Cercine,38.14527643,13.33554455,12,41,0.9,0.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.91,18.8
AA045AA,ALB_046,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,046,Ficus microcarpa,Cercine,38.145309,13.335604,12,39,0.9,0.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.69,18.64
AA046AA,ALB_047,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,047,Ficus microcarpa,Cercine,38.145337,13.335679,12,38,0.9,0.5,D,APL.018S,,Abbattimento chioma espansa h.12-16m,cad,€316.90,Vittorio Veneto,Libertà,VIII,25.59,18.56
AA047AA,ALB_048,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,048,Ficus microcarpa,Cercine,38.14538897,13.33578526,12,37,0.9,0.5,C,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.48,18.49
AA048AA,ALB_049,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,049,Ficus microcarpa,Cercine,38.145408,13.335864,12,39,0.9,0.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.69,18.64
AA049AA,ALB_050,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,050,Ficus microcarpa,Cercine,38.145439,13.33594,12,38,0.9,0.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,25.59,18.56
AA050AA,ALB_051,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,051,Ficus microcarpa,Cercine,38.145471,13.336025,12,45,0.9,0.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,26.34,19.11
AA051AA,ALB_052,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,052,Brachychiton acerifolius ,Cercine,38.145528,13.336239,10,27,1.2,0.5,C,APL.002S,,Potatura latifoglie sempreverdi h.8-16m,cad,€358.16,Vittorio Veneto,Libertà,VIII,20.66,14.98
AA052AA,ALB_053,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,053,Brachychiton acerifolius ,Cercine,38.145571,13.336337,10,32,1.2,0.5,B,APL.002S,,Potatura latifoglie sempreverdi h.8-16m,cad,€358.16,Vittorio Veneto,Libertà,VIII,21.11,15.31
AA053AA,ALB_054,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,054,Brachychiton acerifolius ,Cercine,38.145609,13.336435,12,32,1.2,0.5,B,APL.002S,,Potatura latifoglie sempreverdi h.8-16m,cad,€358.16,Vittorio Veneto,Libertà,VIII,21.11,15.31
AA054AA,ALB_055,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,055,Ficus benjamina,Cercine,38.145652,13.336528,10,18,1.2,0.5,C,APL.026S,,Potatura ars topiaria base 20-30m²,cad,€575.20,Vittorio Veneto,Libertà,VIII,18.31,13.3
AA055AA,ALB_056,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,056,Celtis australis,Cercine stradale,38.145829,13.336518,15,137,0.2,,C,APL.006S,,Potatura decidui chioma espansa h.12-16m,cad,€250.87,Vittorio Veneto,Libertà,VIII,37.58,27.3
AA056AA,ALB_057,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,057,Acer negundo,Cercine,38.146238,13.337607,8,42,0.2,,D,APL.017S,,Abbattimento chioma espansa h.6-12m,cad,€256.86,Vittorio Veneto,Libertà,VIII,23.6,17.06
AA057AA,ALB_058,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,058,Robinia pseudoacacia,Aiuola pedonale,38.146651,13.338721,12,45,1.2,0.4,B,APL.005S,,Potatura decidui chioma espansa h.6-12m,cad,€186.07,Vittorio Veneto,Libertà,VIII,24.62,17.89
AA058AA,ALB_059,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,059,Sophora japonica,Aiuola pedonale,38.146673,13.3388,12,38,1.2,0.4,B,APL.005S,,Potatura decidui chioma espansa h.6-12m,cad,€186.07,Vittorio Veneto,Libertà,VIII,25.23,18.33
AA059AA,ALB_060,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,060,Sophora japonica,Aiuola pedonale,38.146705,13.338859,,30,1.2,0.4,B,APL.005S,,Potatura decidui chioma espansa h.6-12m,cad,€186.07,Vittorio Veneto,Libertà,VIII,24.38,17.71
AA060AA,ALB_061,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,061,Robinia pseudoacacia,Aiuola pedonale,38.146807,13.339127,,15,1.2,0.4,B,SIC24_1.6.2,,"Rimozione ceppaie 0,5-1,5 m³",cad,€228.15,Vittorio Veneto,Libertà,VIII,21.61,15.7
AA061AA,ALB_062,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,062,Robinia pseudoacacia,Aiuola pedonale,38.146879,13.339347,,15,1.2,0.4,B,SIC24_1.6.2,,"Rimozione ceppaie 0,5-1,5 m³",cad,€228.15,Vittorio Veneto,Libertà,VIII,21.61,15.7
AA062AA,ALB_063,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,063,Robinia pseudoacacia,Aiuola pedonale,38.146975,13.339557,,15,1.2,0.4,B,SIC24_1.6.2,,"Rimozione ceppaie 0,5-1,5 m³",cad,€228.15,Vittorio Veneto,Libertà,VIII,21.61,15.7
AA063AA,ALB_064,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,064,Robinia pseudoacacia,Aiuola pedonale,38.14706,13.339758,,15,1.2,0.4,B,SIC24_1.6.2,,"Rimozione ceppaie 0,5-1,5 m³",cad,€228.15,Vittorio Veneto,Libertà,VIII,21.61,15.7
AA064AA,ALB_065,Viale Emilia,17510,541,26/10/2025,Dott. Roberto Marceddu,065,Pinus halepensis,Cercine stradale,38.146389,13.338889,16,64,,,D,APL.024S,Coordinate rilevate da Google earth,Abbattimento chioma piramidale h.16-23m,cad,€521.24,Vittorio Veneto,Libertà,VIII,30.89,22.44
AA065AA,ALB_066,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,001,Ficus microcarpa,Cercine,38.120839,13.356748,12,76,1,4.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,29.67,21.53
AA066AA,ALB_067,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,002,Ficus microcarpa,Cercine,38.120856,13.356666,12,52,1,4.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,27.09,19.66
AA067AA,ALB_068,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,003,Ficus microcarpa,Cercine,38.120871,13.35659,12,79,1,4.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,29.99,21.76
AA068AA,ALB_069,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,004,Ficus microcarpa,Cercine,38.120886,13.356503,12,53,1,4.5,D,APL.018S,,Abbattimento chioma espansa h.12-16m,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,27.2,19.73
AA069AA,ALB_070,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,005,Ficus microcarpa,Cercine,38.120909,13.356381,12,59,1.5,4.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,27.84,20.2
AA070AA,ALB_071,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,006,Ficus microcarpa,Cercine,38.120931,13.356307,12,65,1.5,4.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,28.49,20.67
AA071AA,ALB_072,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,007,Ficus microcarpa,Cercine,38.120949,13.356233,12,65,1.5,4.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,28.49,20.67
AA072AA,ALB_073,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,008,Ficus microcarpa,Cercine,38.120969,13.356155,12,63,1,4.5,C,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,28.27,20.51
AA073AA,ALB_074,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,009,Ficus microcarpa,Cercine,38.121027,13.355921,12,82,1.5,4.5,C,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,30.32,22
AA074AA,ALB_075,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,010,Ficus microcarpa,Cercine,38.121042,13.355819,12,77,1.5,4.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,29.78,21.61
AA075AA,ALB_076,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,011,Ficus microcarpa,Cercine,38.121315,13.354424,12,62,1.2,0.4,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,28.17,20.44
AA076AA,ALB_077,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,012,Ficus microcarpa,Cercine,38.12134525,13.35433767,12,49,1.2,0.5,C,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,26.77,19.42
AA077AA,ALB_078,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,013,Ficus microcarpa,Cercine,38.12136,13.354273,12,41,1.7,0.4,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,25.91,18.8
AA078AA,ALB_079,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,014,Ficus microcarpa,Cercine,38.121376,13.354183,12,38,1.7,0.5,C/D,APL.026S,Ricontrollo post-intervento,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,25.59,18.56
AA079AA,ALB_080,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,015,Ficus microcarpa,Cercine,38.121404,13.354133,12,50,0.6,0.4,C/D,APL.026S,Ricontrollo post-intervento,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,26.88,19.5
AA080AA,ALB_081,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,016,Ficus microcarpa,Cercine,38.121371,13.353804,12,48,0.2,0.5,C,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,26.66,19.34
AA081AA,ALB_082,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,017,Ficus microcarpa,Cercine,38.121307,13.354075,10,37,2,1,D,APL.018S,,Abbattimento chioma espansa h.12-16m,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,25.48,18.49
AA082AA,ALB_083,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,018,Ficus microcarpa,Cercine,38.121294,13.35417,12,45,2,1,D,APL.018S,,Abbattimento chioma espansa h.12-16m,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,26.34,19.11
AA083AA,ALB_084,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,019,Ficus microcarpa,Cercine,38.121281,13.354216,12,42,2,1.2,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,26.02,18.88
AA084AA,ALB_085,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,020,Ficus microcarpa,Cercine,38.121271,13.354265,12,35,2,1.2,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,25.26,18.33
AA085AA,ALB_086,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,021,Ficus microcarpa,Cercine,38.121256,13.354321,12,47,2,1,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,26.55,19.27
AA086AA,ALB_087,Via Pignatelli Aragona,35670,275,02/11/2025,Dott. Roberto Marceddu,022,Ficus microcarpa,Cercine,38.121236,13.354382,12,65,2,1.5,B,APL.026S,,Potatura ars topiaria base 20-30m²,cad,,S.Francesco di Paola - Terrasanta,Politeama,VIII,28.49,20.67
